,State,Candidate,#,Year
4,Arizona,George W. BushRepublican,1104294.0,2004
5,Arizona,John KerryDemocratic,893524.0,2004
18,Florida,George W. BushRepublican,3964522.0,2004
19,Florida,John KerryDemocratic,3583544.0,2004
20,Georgia,George W. BushRepublican,1914254.0,2004
21,Georgia,John KerryDemocratic,1366149.0,2004
44,Michigan,George W. BushRepublican,2313746.0,2004
45,Michigan,John KerryDemocratic,2479183.0,2004
66,North Carolina,George W. BushRepublican,1961166.0,2004
67,North Carolina,John KerryDemocratic,1525849.0,2004
70,Ohio,George W. BushRepublican,2859768.0,2004
71,Ohio,John KerryDemocratic,2741167.0,2004
76,Pennsylvania,George W. BushRepublican,2793847.0,2004
77,Pennsylvania,John KerryDemocratic,2938095.0,2004
86,Texas,George W. BushRepublican,4526917.0,2004
87,Texas,John KerryDemocratic,2832704.0,2004
98,Wisconsin,George W. BushRepublican,1478120.0,2004
99,Wisconsin,John KerryDemocratic,1489504.0,2004
