,State,Candidate,#,Year
4,Arizona,Al GoreDemocratic,685341.0,2000
5,Arizona,George W. BushRepublican,781652.0,2000
18,Florida,Al GoreDemocratic,2912253.0,2000
19,Florida,George W. BushRepublican,2912790.0,2000
20,Georgia,Al GoreDemocratic,1116230.0,2000
21,Georgia,George W. BushRepublican,1419720.0,2000
44,Michigan,Al GoreDemocratic,2170418.0,2000
45,Michigan,George W. BushRepublican,1953139.0,2000
66,North Carolina,Al GoreDemocratic,1257692.0,2000
67,North Carolina,George W. BushRepublican,1631163.0,2000
70,Ohio,Al GoreDemocratic,2186190.0,2000
71,Ohio,George W. BushRepublican,2351209.0,2000
76,Pennsylvania,Al GoreDemocratic,2485967.0,2000
77,Pennsylvania,George W. BushRepublican,2281127.0,2000
86,Texas,Al GoreDemocratic,2433746.0,2000
87,Texas,George W. BushRepublican,3799639.0,2000
98,Wisconsin,Al GoreDemocratic,1242987.0,2000
99,Wisconsin,George W. BushRepublican,1237279.0,2000
